city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,Asian,1610,188978561024
The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL,Black or African-American,331,188978561025
Redlands,California,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.82,CA,Asian,6255,188978561026
Hemet,California,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.97,CA,White,67817,188978561027
Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,American Indian and Alaska Native,1868,188978561028
Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,White,61753,188978561029
Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,Black or African-American,1284,188978561030
Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,Black or African-American,7520,188978561031
Albany,New York,32.8,47627.0,50825.0,98452,3643.0,11948.0,2.08,NY,Black or African-American,31303,188978561032
Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Hispanic or Latino,25080,188978561033
Alhambra,California,41.0,42184.0,43388.0,85572,1673.0,44441.0,2.89,CA,Hispanic or Latino,31386,188978561034
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,Black or African-American,12671,197568495616
Spring Hill,Florida,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58,FL,Hispanic or Latino,15838,197568495617
Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,White,104016,197568495618
El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,Hispanic or Latino,77523,197568495619
Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,Asian,6923,197568495620
Skokie,Illinois,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78,IL,Asian,20272,197568495621
Waco,Texas,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57,TX,Hispanic or Latino,40585,197568495622
Citrus Heights,California,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49,CA,Black or African-American,5979,197568495623
Ontario,California,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52,CA,Asian,14313,197568495624
Spring Hill,Florida,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58,FL,Asian,2409,197568495625
Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA,Asian,2910,197568495626
Lansing,Michigan,31.4,54333.0,59777.0,114110,5327.0,8371.0,2.39,MI,Asian,4168,197568495627
Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,Asian,3194,197568495628
El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,White,64138,206158430208
Yakima,Washington,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74,WA,Asian,2248,206158430209
Hammond,Indiana,36.0,38923.0,38687.0,77610,4144.0,9224.0,2.61,IN,Black or African-American,20442,206158430210
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,Black or African-American,3144,206158430211
Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,White,84625,206158430212
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,American Indian and Alaska Native,2215,206158430213
Columbus,Georgia,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62,GA,Hispanic or Latino,15180,206158430214
Bellflower,California,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58,CA,Black or African-American,12839,206158430215
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,Hispanic or Latino,13670,206158430216
Spring Hill,Florida,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58,FL,Black or African-American,7689,206158430217
Reno,Nevada,35.7,122292.0,119151.0,241443,17089.0,37070.0,2.46,NV,White,197335,206158430218
Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,American Indian and Alaska Native,1354,206158430219
Broomfield,Colorado,36.8,31755.0,33310.0,65065,3966.0,5316.0,2.53,CO,White,58341,206158430220
Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,White,54496,214748364800
Boynton Beach,Florida,45.8,33701.0,40271.0,73972,4727.0,15431.0,2.45,FL,White,49704,214748364801
Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,Asian,1428,214748364802
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31,PA,American Indian and Alaska Native,913,214748364803
Redwood City,California,37.1,42676.0,42624.0,85300,2430.0,27652.0,2.64,CA,Asian,14873,214748364804
Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,Hispanic or Latino,29647,214748364805
South Bend,Indiana,32.4,50483.0,53274.0,103757,3708.0,8779.0,2.72,IN,American Indian and Alaska Native,411,214748364806
Allen,Texas,37.2,51324.0,46814.0,98138,3505.0,19649.0,3.04,TX,American Indian and Alaska Native,227,214748364807
Davis,California,26.3,33493.0,34163.0,67656,2176.0,13997.0,2.69,CA,Asian,17816,214748364808
Menifee,California,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06,CA,Black or African-American,7773,214748364809
Mount Vernon,New York,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85,NY,White,13106,214748364810
Warner Robins,Georgia,31.4,35093.0,38909.0,74002,6974.0,3210.0,2.5,GA,Black or African-American,29307,214748364811
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,Hispanic or Latino,21234,214748364812
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,4755.0,2413.0,2.29,SC,White,41652,214748364813
Akron,Ohio,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24,OH,American Indian and Alaska Native,1845,214748364814
Youngs,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,White,33031,214748364815
Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,American Indian and Alaska Native,474,214748364816
Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,White,92278,214748364817
Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA,Hispanic or Latino,16186,214748364818
Rochester,Minnesota,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55,MN,Black or African-American,9425,214748364819
West Valley City,Utah,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81,UT,Black or African-American,3222,214748364820
Springdale,Arkansas,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04,AR,American Indian and Alaska Native,547,223338299392
Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,Black or African-American,2925,223338299393
Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,Black or African-American,5813,223338299394
Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,White,79582,223338299395
Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,Asian,3009,223338299396
Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,Asian,75318,223338299397
Santa Clarita,California,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02,CA,Asian,23168,223338299398
Fort Myers,Florida,37.3,36850.0,37165.0,74015,4312.0,15365.0,2.45,FL,Hispanic or Latino,17866,223338299399
Pleasanton,California,41.3,36662.0,42857.0,79519,2424.0,23208.0,2.87,CA,Asian,27662,223338299400
Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,Black or African-American,17010,223338299401
Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,Asian,9776,223338299402
